source,target
translate ASL to English: MATHS I WANT,I want to study maths.
translate ASL to English: MALL YOU MEET,Who will you meet at the mall?
translate ASL to English: BIRTHDAY SAMI HAVE,Sami and Layla had the same birthday.
translate ASL to English: MATHEMATICS I WANT,I want to study mathematics.
translate ASL to English: KIDS WANT,The kids want to play.
translate ASL to English: CHILDREN WANT,The children want to play.
translate ASL to English: YEAR SAMI FINISH,Sami finished the school year.
translate ASL to English: SCHOOL SAMI WANT,Sami and Layla didn't want to go to school.
translate ASL to English: WHAT SAMI HAVE,Sami has no idea what to do.
translate ASL to English: THAT SAMI HAVE,Sami has the right to do that.
translate ASL to English: SHIRT MENNAD WEAR,Mennad was wearing a blue shirt.
translate ASL to English: MAN BAYA LOOK,Baya looks like a man.
translate ASL to English: WHO EAT,"He who does not work, does not eat."
translate ASL to English: I DRINK,I'll drink.
translate ASL to English: MENNAD WANT,Mennad doesn't want to help.
translate ASL to English: WOMAN MENNAD LIKE,Mennad doesn't like this woman.
translate ASL to English: DOCTOR MENNAD NEED,Mennad needed to go to the doctor.
translate ASL to English: BOOK YOU LIKE,You might not like this book.
translate ASL to English: MENNAD CRY,Mennad was crying all the time.
translate ASL to English: DOCTOR MENNAD GO,Mennad should go to the doctor.
translate ASL to English: WHAT KNOW,Mennad knows what is wrong.
translate ASL to English: WE WANT,We all want to succeed.
translate ASL to English: DOG MENNAD HAVE,Mennad has a dog.
translate ASL to English: THAT WORK,That might work.
translate ASL to English: DOG TALK,The dog talks.
translate ASL to English: MENNAD DIE,Mennad died last year.
translate ASL to English: TOM WHAT NEED,I need to tell Tom what happened.
translate ASL to English: HELP MENNAD HAVE,Mennad had no help.
translate ASL to English: MENNAD HELP,Mennad can help.
translate ASL to English: WHAT WONDER,Mennad wondered what was wrong.
translate ASL to English: DOCTOR MENNAD DECIDE,Mennad decided to go to the doctor right away.
translate ASL to English: THAT IT WORK,It just doesn't work like that.
translate ASL to English: MENNAD CHANGE,Mennad did not change.
translate ASL to English: MENNAD SCREAM,Mennad screamed all the time.
translate ASL to English: BED TOM WANT,All Tom wanted was to go home and go to bed.
translate ASL to English: BILLIARDS I WANT,I want to play billiards.
translate ASL to English: BASKETBALL I WANT,I want to play basketball.
translate ASL to English: VOLLEYBALL I WANT,I want to play volleyball.
translate ASL to English: THAT YOU WANT,I want you to do that now.
translate ASL to English: ME YOU WANT,I want you to go to the dance with me.
translate ASL to English: WHAT I TELL,I can tell you what to do.
translate ASL to English: WORK MENNAD HAVE,Mennad has to go to work.
translate ASL to English: YEAR I GO,I wouldn't go to Kabylie in this time of the year.
translate ASL to English: IT WHO GIVE,Give this to anybody who wants it.
translate ASL to English: WHAT YOU GO,Go upstairs and do what you have to do.
translate ASL to English: HELP WE NEED,We need help bad.
translate ASL to English: WHAT YOU FORGET,What did you forget to pack?
translate ASL to English: WORK TOM WANT,What kind of work does Tom want to do?
translate ASL to English: JUICE YOU LIKE,Do you like orange juice?
translate ASL to English: I WANT,I want to eat couscous.
translate ASL to English: MENNAD NEED,Mennad doesn't need to go.
translate ASL to English: TRY MENNAD GIVE,Mennad will give it a try later.
translate ASL to English: MOTHER MENNAD HAVE,Mennad has no mother.
translate ASL to English: COW MENNAD HAVE,Mennad has a cow.
translate ASL to English: ACCIDENT WE NEED,We need to report this accident.
translate ASL to English: TIME MENNAD HAVE,Mennad did not have time.
translate ASL to English: WHAT I LIKE,I like what I'm hearing.
translate ASL to English: YOU WANT,I want you to eat.
translate ASL to English: FAMILY I WANT,I want to meet Tom's family.
translate ASL to English: YOU I WANT,I want to meet you.
translate ASL to English: THAT YOU NEED,You don't need that now.
translate ASL to English: DOG I WANT,I want to buy a dog.
translate ASL to English: DOG I LIKE,I'd like to buy a dog.
translate ASL to English: THIS WANT,I want this done now.
translate ASL to English: I WANT,I want to work again.
translate ASL to English: WORK I WANT,I want to go back to work.
translate ASL to English: FAMILY I WANT,I want a large family.
translate ASL to English: YOU I WANT,I want to be like you.
translate ASL to English: THAT I NEED,I need help doing that.
translate ASL to English: BASKETBALL 'S LET,Let's go play basketball.
translate ASL to English: BASKETBALL 'S LET,Let's play basketball.
translate ASL to English: WALK 'S LET,Let's go out for a short walk.
translate ASL to English: THAT I WANT,I want help doing that.
translate ASL to English: RIDE I WANT,I want to go for a ride.
translate ASL to English: WHO LOSE,Who lost?
translate ASL to English: CHECKERS I WANT,I want to play checkers.
translate ASL to English: WALK IT LET,Let's go for a walk this morning before it gets hot.
translate ASL to English: BED I WANT,I want to go back to bed.
translate ASL to English: EXPLANATION I WANT,I want a full explanation.
translate ASL to English: TABLE WOBBLE,This table is wobbling.
translate ASL to English: THAT YOU WANT,I want to help you do that.
translate ASL to English: IT I HAVE,I'll have a hot dog with everything on it.
translate ASL to English: THAT MENNAD DO,Mennad and Baya did that last year.
translate ASL to English: MENNAD GO,Mennad can go.
translate ASL to English: FISH IT TASTE,It doesn't taste like fish.
translate ASL to English: IT MENNAD GO,Mennad is going to eat it later.
translate ASL to English: YOU WE WANT,We want to see you right now.
translate ASL to English: KABYLIE I GO,I go to Kabylie all the time.
translate ASL to English: FRENCH I WANT,I want a book in French.
translate ASL to English: HAIR MENNAD HAVE,Mennad has dark brown hair.
translate ASL to English: SCHOOL MENNAD HAVE,Mennad had a black eye at school.
translate ASL to English: MENNAD NEED,Mennad and Baya need to go.
translate ASL to English: EGYPT IT HAPPEN,"In Egypt, it happens all the time."
translate ASL to English: EGYPT THIS HAPPEN,"In Egypt, this happens all the time."
translate ASL to English: JACKET I NEED,I need to return this jacket.
translate ASL to English: BEANIE MENNAD HAVE,Mennad has a blue and white beanie.
translate ASL to English: YEAR MENNAD DO,Mennad did that in June of last year.
translate ASL to English: TIME HE HAVE,He has time.
translate ASL to English: THIS YOU NEED,You don't need to do this now.
translate ASL to English: THIS TOM NEED,Tom doesn't need to do this now.
translate ASL to English: ARABIC THEY TALK,They are all talking at the same time in Arabic.
translate ASL to English: PIE I WANT,I want to eat some apple pie.
translate ASL to English: I WANT,I want to learn how to dance.
translate ASL to English: I WANT,I want to learn to dance.
translate ASL to English: FAMILY I WANT,I want a big family.
translate ASL to English: PIZZA I WANT,I wanted to eat pizza.
translate ASL to English: PIZZA 'S LET,Let's eat pizza.
translate ASL to English: EVERYTHING I DO,I did everything right this time.
translate ASL to English: THAT DO,That will do just fine.
translate ASL to English: WATER I WANT,I want to drink water.
translate ASL to English: YOU I WANT,I want to play with you.
translate ASL to English: I LIKE,I like to play.
translate ASL to English: IT I LIKE,I'd like to do it.
translate ASL to English: BISCUIT WHO EAT,Who ate the last biscuit?
translate ASL to English: THEY EAT,"They did not eat or drink, yesterday."
translate ASL to English: FISH EAT,A fish eats.
translate ASL to English: TOM GO,Tom can't go anywhere right now.
translate ASL to English: BERBER I WANT,I want to study Berber.
translate ASL to English: FOOTBALL WHO LIKE,Who does not like playing football?
translate ASL to English: TIME VLADIMIR HAVE,Vladimir didn't have time to eat.
translate ASL to English: KABYLIE WE NEED,We need to go to Kabylie.
translate ASL to English: THAT MARY GO,Tom didn't go to the same school that Mary did.
translate ASL to English: WE NEED,We need to leave now.
translate ASL to English: CHAIR WE NEED,We need another chair.
translate ASL to English: WORK I LIKE,I like to walk to work.
translate ASL to English: THAT MARY GO,Tom doesn't go to the same school that Mary does.
translate ASL to English: SCHOOL SHE LIKE,She doesn't like to go to school.
translate ASL to English: HE WORK,He doesn't work at all.
translate ASL to English: FISH YOU EAT,You eat fish.
translate ASL to English: VACATIONS WHO LIKE,Who doesn't like vacations?
translate ASL to English: CHANGE TOM LIKE,Tom doesn't like change.
translate ASL to English: WHAT FIGURE,The doctor couldn't figure out what was wrong.
translate ASL to English: SCHOOL TOM WANT,Tom didn't want to go to school this morning.
translate ASL to English: MUSIC WE LIKE,We like the same music.
translate ASL to English: PREPARATION YOU NEED,How much time do you need for the preparation?
translate ASL to English: LETTER SHE WRITE,She wrote me a letter last year.
translate ASL to English: TRANSLATOR I WANT,I want to work as a translator.
translate ASL to English: ISLAM YOU NEED,You need to study Islam.
translate ASL to English: ALGERIA WE WANT,We want change in Algeria.
translate ASL to English: HE RETIRE,He retired last year.
translate ASL to English: WHAT HE KNOW,He does not know what to do now.
translate ASL to English: REPORT I WANT,I want a progress report right now.
translate ASL to English: BRIDGE I WANT,I want to learn how to play bridge.
translate ASL to English: ISLAM I WANT,I want to study Islam.
translate ASL to English: RELIGION I WANT,I want to study that religion.
translate ASL to English: MOSQUE I WANT,I want to go to the mosque.
translate ASL to English: OBOE I WANT,I want to learn how to play the oboe.
translate ASL to English: AFRICA FRANCE HAVE,France had many colonies in Africa.
translate ASL to English: WHAT IT CALL,What was it called?
translate ASL to English: JUAN WANT,Juan doesn't want to work.
translate ASL to English: BOOK YOU READ,You have read this book before.
translate ASL to English: ADDRESS I GO,How do I go to this address?
translate ASL to English: TOM WHO LIKE,Who would like to hire Tom?
translate ASL to English: HOSPITAL YOU WANT,I want to work at the same hospital where you work.
translate ASL to English: WHAT I WANT,I want to finish what I'm doing before I go home.
translate ASL to English: ALGERIANS EAT,All Algerians eat couscous.
translate ASL to English: THIS IT WORK,"Yes, it works like this."
translate ASL to English: PIANO ALL PLAY,All of you play the piano.
translate ASL to English: I WANT,I want to work less.
translate ASL to English: TIME I WANT,I want a full report by this time tomorrow.
translate ASL to English: I WANT,"I want to help, but I'm too busy right now."
translate ASL to English: FISH FISH,Fish where the fish are.
translate ASL to English: FISH NEED,You need to fish where the fish are.
translate ASL to English: FISH FISH NEED,"If you want to catch fish, you need to fish where the fish are."
translate ASL to English: WHAT HAPPEN,"But, what happened?"
translate ASL to English: SAXOPHONE I WANT,I want to learn how to play the saxophone.
translate ASL to English: LAST TIME COME,At last my time came.
translate ASL to English: TIME HE FINISH,He didn't finish his work in time.
translate ASL to English: TROMBONE I WANT,I want to learn how to play the trombone.
translate ASL to English: WHAT SOMEBODY WANT,I'd want somebody to tell me what to do.
translate ASL to English: PIZZA HE LIKE,He doesn't like pizza.
translate ASL to English: IT HE READ,He's reading it right now.
translate ASL to English: WHAT NEED THINK,I think what you need now is a kiss.
translate ASL to English: MARY TOM GO,Tom didn't go to the same school as Mary.
translate ASL to English: SCHOOL MARY GO,Tom didn't go to the same school as Mary did.
translate ASL to English: MOTHER HE TALK,He talks to his mother all the time.
translate ASL to English: PAPER I NEED,I need a piece of paper.
translate ASL to English: TOM YOU GIVE,How many pieces of paper did you give Tom?
translate ASL to English: TOM YOU GIVE,How many pieces of paper did you give to Tom?
translate ASL to English: BASSOON I WANT,I want to learn how to play the bassoon.
translate ASL to English: TRUMPET I WANT,I want to learn how to play the trumpet.
translate ASL to English: IT REALIZE,Tom realized that it was time to go.
translate ASL to English: YOU GO,You can go swim now.
translate ASL to English: YOU I WANT,I want to eat you.
translate ASL to English: I WANT,I just want to be a woman.
translate ASL to English: PIANO I WANT,I want to learn how to play the piano.
translate ASL to English: ORGAN I WANT,I want to learn how to play the organ.
translate ASL to English: DRUMS I WANT,I want to learn how to play the drums.
translate ASL to English: SONG I WANT,I want to learn how to play that song.
translate ASL to English: THAT TOM DO,Tom did all of that.
translate ASL to English: IT GO,How does it go?
translate ASL to English: WHAT HE WANT,What does he want now?
translate ASL to English: PARADISE I WANT,I want to go to paradise.
translate ASL to English: HELP WHO LIKE,I wouldn't like to help those who don't need help.
translate ASL to English: HER I LIKE,I would like to help her.
translate ASL to English: HER I LIKE,I'd like to help her.
translate ASL to English: HIM I LIKE,I would like to help him.
translate ASL to English: HIM I LIKE,I'd like to help him.
translate ASL to English: FAMILY I LIKE,I would like to help your family.
translate ASL to English: FAMILY I LIKE,I'd like to help your family.
translate ASL to English: FAMILY I LIKE,I would like to help your whole family.
translate ASL to English: FAMILY I LIKE,I'd like to help your whole family.
translate ASL to English: I LIKE,I would like to help too.
translate ASL to English: I LIKE,I'd like to help too.
translate ASL to English: HELP I LIKE,I would like help.
translate ASL to English: HELP I LIKE,I'd like help.
translate ASL to English: HER YOU LIKE,Would you like to help her?
translate ASL to English: SOMEONE YOU LIKE,Would you like to help someone?
translate ASL to English: WHAT YOU DO,Do what you can do.
translate ASL to English: YOU I TELL,"Tell me, how can I help you?"
translate ASL to English: HER I TELL,"Tell me, how can I help her?"
translate ASL to English: HIM I TELL,"Tell me, how can I help him?"
translate ASL to English: I HELP,"How can I help, anyway?"
translate ASL to English: YOU I HELP,"After all, how can I help you?"
translate ASL to English: THEM I HELP,"After all, how can I help them?"
translate ASL to English: HER I HELP,"After all, how can I help her?"
translate ASL to English: HIM I HELP,"After all, how can I help him?"
translate ASL to English: IT I HELP,"After all, how can I help it?"
translate ASL to English: WHO LOSE,Those who arrive last will lose.
translate ASL to English: THAT DO,Everything that could go wrong did.
translate ASL to English: WHAT IT FEEL,What does it feel like to be a Muslim?
translate ASL to English: LIFE BOOK CHANGE,A book can change your life.
translate ASL to English: FAMILY I MEET,I will meet my family.
translate ASL to English: HER YOU GIVE,What did you give to her?
translate ASL to English: MONDAYS YOU GO,Do you go to school on Mondays?
translate ASL to English: TRAIN YOU GO,Do you go to school by train?
translate ASL to English: DOCTOR HE WANT,He didn't want to go to the doctor.
translate ASL to English: DOCTOR SHE WANT,She didn't want to go to the doctor.
translate ASL to English: WE STUDY,We will study.
translate ASL to English: AUSTRALIA YOU LIKE,Would you like to study in Australia?
translate ASL to English: AUSTRALIA YOU WANT,Do you want to study in Australia?
translate ASL to English: FRENCH YOU STUDY,How do you study French?
translate ASL to English: YOU I TELL,Tell me how can I help you.
translate ASL to English: SAILING I WANT,I want to go sailing.
translate ASL to English: PIZZA I LOVE,I love to eat pizza.
translate ASL to English: OPINION MANY SHARE,How many of you share the same opinion?
translate ASL to English: DOCTOR WOMAN GO,The sick woman goes to the doctor.
translate ASL to English: MAN DOCTOR HEAL,The doctor heals the sick man.
translate ASL to English: TIME I GO,From time to time I go there.
translate ASL to English: TIME THINGS CHANGE,Things change from time to time.
translate ASL to English: TIME IT HAPPEN,From time to time it happens.
translate ASL to English: ME IT TELL,Can you tell me what time it is?
translate ASL to English: EVERYTHING WANT,I want to believe everything's all right.
translate ASL to English: BOOK I READ,I've read how to cook tempura in a book.
translate ASL to English: AUSTRALIA I LIKE,I would like to go to Australia.
translate ASL to English: CITY WE LIVE,We live in the same city.
translate ASL to English: BOOK I LIKE,I don't like that book.
translate ASL to English: STRUCTURE WORK HAVE,The work has no structure.
translate ASL to English: BOOK I LIKE,I didn't like that book.
translate ASL to English: THIS I EAT,I can't eat at a time like this.
translate ASL to English: CANDY SHE LIKE,She doesn't like candy.
translate ASL to English: WHITE I LIKE,I like the color white.
translate ASL to English: LANGUAGE WE LIKE,We like the Berber language.
translate ASL to English: ALBANIA THEY WANT,They did not want to go to Albania.
translate ASL to English: BIRTHDAY HAVE,This birthday has to be perfect.
translate ASL to English: THIS WORK,This could work.
translate ASL to English: AUSTRALIA I WANT,I do want to go to Australia.
translate ASL to English: I DO,"Yes, I do."
translate ASL to English: I LIKE,I like to cook and bake.
translate ASL to English: WHAT THEY LIKE,What do they like to do?
translate ASL to English: WHAT THEY LIKE,What do they like doing?
translate ASL to English: MOSQUE WE WANT,We want to go to the mosque.
translate ASL to English: LANGUAGE BERBERS SPEAK,Berbers speak the same language.
translate ASL to English: AWARD GIVE,The award was not given last year.
translate ASL to English: ALGERIA I WANT,I want to go to Algeria.
translate ASL to English: DOG MUSLIMS EAT,Muslims don't eat dog.
translate ASL to English: MOMENT WHO HAVE,Who has words at the right moment?
translate ASL to English: BERBER SCHOOL TEACH,Does this language school teach Berber?
translate ASL to English: NURSE DOCTOR WANT,The doctor doesn't want to work with this nurse.
translate ASL to English: PATIENTS DOCTOR HAVE,How many patients does this doctor have?
translate ASL to English: DOCTOR PISS,The doctor was pissed.
translate ASL to English: DOCTOR COME,The doctor came in.
translate ASL to English: SCHOOL TOM GO,Tom didn't go to school last Monday.
translate ASL to English: BERBER I STUDY,How do I study Berber?
translate ASL to English: BERBER HE STUDY,How does he study Berber?
translate ASL to English: BERBER 'S LET,Let's study Berber this year.
translate ASL to English: BERBER THIS HAVE,What does this have to do with Berber?
translate ASL to English: MOSQUE 'S LET,Let's go back to the mosque right now.
translate ASL to English: IT US HELP,Help us do it.
translate ASL to English: I LIKE,I'd like to say yes.
translate ASL to English: WOMEN WORK,How many women work here?
translate ASL to English: IT RAIN,"Right now, it isn't raining."
translate ASL to English: WHAT YOU READ,Read what you want to.
translate ASL to English: BUS I GO,I go to the school by bus.
translate ASL to English: GERMANY YOU WANT,You all don't want to go to Germany.
translate ASL to English: SHOPPING YOU LIKE,Would you like to go shopping?
translate ASL to English: BASKETBALL I LIKE,Of course I like basketball.
translate ASL to English: SCHOOL YOU GO,Did you go to the school yesterday?
translate ASL to English: CHANGE PEOPLE WANT,People want change.
translate ASL to English: ALGERIA WHO WANT,Who doesn't want to go on a holiday to Algeria?
translate ASL to English: ALGERIA YOU WANT,Do you want to go to Algeria?
translate ASL to English: WOOD TERMITES LIKE,Termites like to eat wood.
translate ASL to English: WHAT YOU DO,What did you do last summer?
translate ASL to English: LUNCH YOU EAT,What will you eat for lunch?
translate ASL to English: DARK WE NEED,We need to fix the radio before dark.
translate ASL to English: WHAT YOU STUDY,What did you study last night?
translate ASL to English: YOU DOCTOR TELL,What did your doctor tell you?
translate ASL to English: THIS WHO WANT,I want to tell you who did this.
translate ASL to English: WHO YOU EAT,Who will you eat with?
translate ASL to English: CHANGE MACHINE GIVE,The machine doesn't give change.
translate ASL to English: PEOPLE INVOLVE,How many people were involved?
translate ASL to English: COMPUTER WE NEED,We need the computer tonight.
translate ASL to English: COMPUTER PLUG,The computer was plugged in.
translate ASL to English: MEDICINE HE WANT,He wants to go to college to study medicine.
translate ASL to English: DOGS YOU EAT,How many hot dogs did you eat?
translate ASL to English: CHILDREN KILL,How many children were killed?
translate ASL to English: FISH YOU EAT,How many fish did you eat?
translate ASL to English: THAT YOU HAVE,You'll have time for that later.
translate ASL to English: THAT WE HAVE,We'll have time for that later.
translate ASL to English: BED I WANT,It is late. I want to go to bed.
translate ASL to English: IT RAIN,It's not raining right now.
translate ASL to English: IT RAIN,It isn't raining right now.
translate ASL to English: DINNER ALGERIANS EAT,What time do Algerians eat dinner?
translate ASL to English: BERBER YOU TELL,How do you tell the time in Berber?
translate ASL to English: SCHOOL YOU GO,I go to the same school you do.
translate ASL to English: HE HAVE,He has to leave right now.
translate ASL to English: HE HAVE,He has to come right now.
translate ASL to English: SANDWICHES LEAVE,How many sandwiches are left?
translate ASL to English: THOSE WE NEED,How many of those do we need?
translate ASL to English: CANADIANS WORK,How many Canadians work here?
translate ASL to English: IT GET,How hot did it get yesterday?
translate ASL to English: BOOK I READ,I'm reading that book right now.
translate ASL to English: IT THINK,I think that it's all right now.
translate ASL to English: YOU STUDY,You can study.
translate ASL to English: ME I TELL,Tell me if I'm wrong.
translate ASL to English: WHAT HALL SAY,What does the city hall say?
translate ASL to English: WORLD MAN MAKE,A right man in the wrong place can make all the difference in the world.
translate ASL to English: WHO TOM HAVE,I have no idea who Tom is with right now.
translate ASL to English: WHAT I FORGET,What did I forget to do?
translate ASL to English: IT YOU DO,You need not do it right away.
translate ASL to English: BED YOU GO,You must go to bed.
translate ASL to English: WHAT I FORGET,What did I forget to buy?
translate ASL to English: WE NEED,We need to go outside.
translate ASL to English: SCHOOL TOM USE,Tom used to go to this school.
translate ASL to English: SHIRT TOM WEAR,Tom wore a black shirt.
translate ASL to English: BOSTON I LIKE,I would like to go to Boston.
translate ASL to English: TIME WOMEN SCREAM,All the women in the room screamed at the same time.
translate ASL to English: ACCIDENT THREE KILL,All three were killed in the accident.
translate ASL to English: DOG I HAVE,I don't have a dog now.
translate ASL to English: DOG TOM HAVE,Tom doesn't have a dog now.
translate ASL to English: THIS I WANT,I didn't want this at all.
translate ASL to English: THAT I WANT,I didn't want to do that at all.
translate ASL to English: SCHOOL I GO,I don't go to this school.
translate ASL to English: DOG TOM WANT,Tom didn't want a dog.
translate ASL to English: DOG TOM WANT,Tom doesn't want a dog.
translate ASL to English: SHIRT TOM WANT,Tom doesn't want this shirt.
translate ASL to English: SCHOOL TOM GO,Tom doesn't go to this school.
translate ASL to English: THIS WE EAT,How do we eat this?
translate ASL to English: MANY I NEED,How many do I need?
translate ASL to English: LANGUAGE TOM SPEAK,What language does Tom speak?
translate ASL to English: US YOU GO,"Yes, you can go with us."
translate ASL to English: GRAY I LIKE,I like the color gray.
translate ASL to English: TABLE PAINT,The table is painted brown.
translate ASL to English: TOM YOU GIVE,How many did you give Tom?
translate ASL to English: IT YOU DO,"If you want to tell me the truth, do it now."
translate ASL to English: RABBIT DOG EAT,The brown dog ate the rabbit.
translate ASL to English: THAT TOM WANT,Does Tom want to be like that?
translate ASL to English: THAT YOU WANT,Do you want to be like that?
translate ASL to English: TOM TALK,Tom was talking all the time.
translate ASL to English: THEY WORK,They are all working now.
translate ASL to English: TIME THINK,I think that time will tell.
translate ASL to English: SCHOOL PUPILS LIKE,The pupils don't like the school.
translate ASL to English: FACTORY WOMEN WORK,How many women work in this factory?
translate ASL to English: HAT TOM HAVE,Tom has a hat on.
translate ASL to English: HAIR TOM HAVE,Tom had dark brown hair.
translate ASL to English: TOM BEAR,Tom was born last year.
translate ASL to English: TIME DOCTOR COME,The doctor came in time.
translate ASL to English: CARDS YOU LIKE,Do you like to play cards?
translate ASL to English: MAN FACE TELL,I could not tell if the face was that of a man or a woman.
translate ASL to English: US TOM HELP,How can Tom help us?
translate ASL to English: CHILDREN INJURE,How many children were injured?
translate ASL to English: CANADIANS KILL,How many Canadians were killed?
translate ASL to English: TENNIS I PLAY,I play tennis all year.
translate ASL to English: SHIRT TOM WEAR,Tom is wearing a blue shirt.
translate ASL to English: WHAT I NEED,I need Tom to tell me what to do.
translate ASL to English: ACCIDENT HAPPEN,How did the car accident happen?
translate ASL to English: WORK I LIKE,I don't like work.
translate ASL to English: WHAT TOM WANT,I want Tom to tell me what to do.
translate ASL to English: TOM SUPPOSE,Tom is supposed to go now.
translate ASL to English: CANADIANS INJURE,How many Canadians were injured?
translate ASL to English: POUNDS THAT WEIGH,How many pounds does that weigh?
translate ASL to English: TOM WANT,I want Tom to go outside and play.
translate ASL to English: SHIRT TOM WEAR,Tom is wearing a blue and white striped shirt.
translate ASL to English: PASSENGERS INJURE,How many passengers were injured?
translate ASL to English: I LIKE,I like to go barefoot.
translate ASL to English: WHAT CHILDREN PLAY,What do children play with?
translate ASL to English: IT TOM HAVE,Tom had it all.
translate ASL to English: ME THAT SOUND,That sounds all right to me.
translate ASL to English: SON I GO,I'm going to go for a walk with my son.
translate ASL to English: MUSIC THEY PLAY,They play Algerian music all the time.
translate ASL to English: YOU FISH DO,How many fish did you and Tom catch?
translate ASL to English: FISH I EAT,I eat couscous with fish.
translate ASL to English: WHAT YOU DO,What did you do the last time you were here?
translate ASL to English: ONE YOU LIKE,How do you like this one?
translate ASL to English: BOSTON YOU DO,What did you do the last time you were in Boston?
translate ASL to English: AUSTRALIA YOU DO,What did you do that last time you were in Australia?
translate ASL to English: SCHOOL YOU WALK,Did you walk to school this morning?
translate ASL to English: IT MAKE,How was it made?
translate ASL to English: WHAT HAPPEN,What happened the last time?
translate ASL to English: WHAT HAPPEN,What happened last time?
translate ASL to English: WHO YOU GO,Who did you go bowling with?
translate ASL to English: FISH IT TASTE,It tastes like fish.
translate ASL to English: ME THEY WANT,They all want to be with me.
translate ASL to English: THIS DOCTOR HAVE,The doctor has to see this.
translate ASL to English: TIME CLOCK SHOW,The clock is showing the wrong time.
translate ASL to English: CORN YOU BUY,How many ears of corn did you buy?
translate ASL to English: THAT I NEED,I need Tom to tell me how to do that.
translate ASL to English: THAT TOM WANT,I want Tom to tell me how to do that.
translate ASL to English: THIS WHO SAY,Who would say no to this?
translate ASL to English: DOGS I LIKE,I like all dogs.
translate ASL to English: HELP DOG NEED,Your dog needs help.
translate ASL to English: MAN SHE LOOK,She looks like a man.
translate ASL to English: YOU TAKE,Please take all the time you need.
translate ASL to English: THINGS WE WANT,We want to change things.
translate ASL to English: THINGS I WANT,I want to change things.
translate ASL to English: THINGS WANT,I want things to change.
translate ASL to English: THINGS WANT,We want things to change.
translate ASL to English: DINNER YOU EAT,What time do you usually eat dinner?
translate ASL to English: SUPPER YOU EAT,What time do you usually eat supper?
translate ASL to English: MONEY TOM NEED,Tom doesn't need money right now.
translate ASL to English: MONEY I NEED,I don't need money right now.
translate ASL to English: THAT WOMAN WANT,No woman wants to hear that.
translate ASL to English: HOUR I GO,I'll go to bed in an hour.
translate ASL to English: YOU I WANT,I don't want to be a mother like you.
translate ASL to English: IT CHILDREN ENJOY,Children enjoy it.
translate ASL to English: IT CHILDREN ENJOY,The children enjoy it.
translate ASL to English: DOG I LIKE,I like Tom's dog.
translate ASL to English: WORK HE HAVE,He has work to do.
translate ASL to English: DOG WE NEED,We don't need a dog.
translate ASL to English: THAT HE DO,He does that all the time.
translate ASL to English: IT HE GET,He got it all wrong.
translate ASL to English: WE NEED,We need to work.
translate ASL to English: MOSQUE 'S LET,Let's go to the mosque now.
translate ASL to English: EVERYTHING THIS CHANGE,This would change everything.
translate ASL to English: THAT DOCTOR SAY,The doctor said that.
translate ASL to English: CRAP WHO LOOK,Who looks like crap?
translate ASL to English: BOSTON WE NEED,We need to go to Boston.
translate ASL to English: I GO,I can't go now.
translate ASL to English: IT I WORK,I'll work on it.
translate ASL to English: THAT I CHANGE,I can change that.
translate ASL to English: YOU GO,Go on ahead if you want.
translate ASL to English: YOU GO,Go on ahead if you want to.
translate ASL to English: THIS I FINISH,I can finish this later.
translate ASL to English: THIS I FINISH,I'll finish this later.
translate ASL to English: THIS 'S LET,Let's finish this later.
translate ASL to English: FRENCH YOU NEED,You need to study French.
translate ASL to English: IMAM I WANT,I want to be like that imam.
translate ASL to English: WHAT DO,Do what feels right.
translate ASL to English: TIME WHAT DO,I just did what felt right at the time.
translate ASL to English: I WANT,"I want to work to live, not live to work."
translate ASL to English: BOSTON WE WANT,We all want to go to Boston.
translate ASL to English: WHAT TOM TELL,Tom will tell you what to do.
translate ASL to English: DOG TOM LIKE,Tom doesn't like that dog.
translate ASL to English: HAT TOM CHOOSE,Tom chose the black hat.
translate ASL to English: RIGHT TOM DO,Tom did right.
translate ASL to English: TOM EAT,Tom will eat.
translate ASL to English: THIS GIRLS DO,Girls do this all the time.
translate ASL to English: TURKEY I WANT,I want to go to Turkey.
translate ASL to English: DOCTOR THEY PICK,They picked the right doctor.
translate ASL to English: WHAT HAPPEN,What is all this? What happened?
translate ASL to English: TODAY YOU GO,How many stores did you go to today?
translate ASL to English: YOU WANT,What color shoes do you want to buy?
translate ASL to English: WHAT I WANT,I want to know what I can do to help.
translate ASL to English: ISLAM THIS HAVE,What does this have to do with Islam?
translate ASL to English: TABLE SET,The table is set.
translate ASL to English: WALK DOG TAKE,The dog must be taken for a walk.
translate ASL to English: MILES YOU WALK,How many miles did you walk yesterday?
translate ASL to English: DINNER I COOK,I cook Thanksgiving dinner every year.
translate ASL to English: IT GET,It is getting dark.
translate ASL to English: TIME HE SAY,Tom said that he had no time to eat.
translate ASL to English: TOM LIKE,Tom doesn't like to cook.
translate ASL to English: MARY LIKE,Mary doesn't like to cook.
translate ASL to English: PAPER I LIKE,I'd like some paper.
translate ASL to English: THAT TOM DO,Tom did that all the time.
translate ASL to English: TIME 'S LET,Let's meet again tomorrow at the same time.
translate ASL to English: TOM YOU TELL,What did you tell Tom last night?
translate ASL to English: YEAR YOU GO,How many concert did you go to last year?
translate ASL to English: SCHOOL YOU WALK,Did you walk to school yesterday?
translate ASL to English: WHAT THAT MEAN,What would that mean?
translate ASL to English: TIME HE SAY,Tom said he had no time to eat.
translate ASL to English: YOU LIKE,Do you like blue or yellow?
